Order number is empty,Tilausnumero puuttuu.
No order for processing found,Tilausta ei löytynyt.
Order canceled. Failed to complete the payment.,Maksua ei voitu suorittaa. Ole hyvä ja yritä uudelleen.
Failed to complete the payment. Please try again or contact the customer service.,Maksua ei voitu suorittaa. Ole hyvä ja yritä uudelleen.
Payment failed,Maksu epäonnistui.
Payment has been completed,Maksu hyväksytty.
Order canceled. Failed to redirect to Paytrail.,Maksua ei voitu suorittaa. Ole hyvä ja yritä uudelleen.
Finnish,suomi
English,englanti
Swedish,ruotsi
Nordea,Nordea
Osuuspankki,Osuuspankki
Danske Bank,Danske Bank
Ålandsbanken,Ålandsbanken
Handelsbanken,Handelsbanken
S-Pankki,S-Pankki
Aktia,Aktia
POP Pankki,POP Pankki
Säästöpankki,Säästöpankki
Oma Säästöpankki,Oma Säästöpankki
"Klarna, Invoice",Klarna Lasku
"Klarna, Installment",Klarna Osamaksu
Jousto,Jousto
Collector Bank,Collector
Visa,Visa
MasterCard,MasterCard
Diners Club,Diners Club
JCB,JCB
Visa (Nets),Visa (Nets)
MasterCard (Nets),MasterCard (Nets)
Diners Club (Nets),Diners Club (Nets)
American Express (Nets),American Express (Nets)
MobilePay,MobilePay
Paytrail account,Paytrail-tili
Paypal,Paypal
The customer was redirected to Paytrail.,Asiakas ohjattiin maksamaan Paytrailiin.
Cannot get payment URL from Paytrail,Maksun osoitetta ei voitu hakea.
Unexpected error (totals do not match).,Odottamaton virhe (summat eivät täsmää).
mobile,Mobiilimaksu
bank,Maksu verkkopankissa
creditcard,Maksu luotto- tai pankkikortilla
credit,Lasku tai osamaksu
Paytrail Account,Paytrail-tili
PayPal,PayPal
Place Order,Vahvista tilaus
An error occurred on the server. Please try to place the order again.,Tapahtui palvelinvirhe. Ole hyvä ja yritä uudelleen.
Paytrail,Paytrail
Enabled,Käytössä
Title,Nimi
Merchant ID,Kauppiastunnus
Merchant Secret,Salainen avain
Language,Kieli
Use Payment Page Bypass,Käytä maksusivun ohitusta
Payment Methods,Maksutavat
New Order Status,Uuden tilauksen tila
Payment from Applicable Countries,Sallitut maat
Payment from Specific Countries,Maksu tietyistä maista
Instructions,Ohjeet
Minimum Order Total,Minimitilaus
Maximum Order Total,Maksimitilaus
Sort Order,Järjestys
Discount,Alennus
Shipping,Toimitus
"Restore a canceled order","Palauta peruutettu tilaus"
"Restore order #","Palauta tilaus #"
Hello,Hei
"Restore order <a href=""%order_url"">%order_increment</a>","Palauta tilaus #<a href=""%order_url"">%order_increment</a>"
"The payment for the order %order_increment has been completed while the order was in canceled state.
        Please navigate to your Magento orders, select the order in question, and click restore order. Note the stock.","Tilaukselle #%order_increment saapui maksu tilauksen peruuttamisen jälkeen
        Pyydämme teitä tarkastamaan kyseisen tilauksen tilan Magenton administa ja käyttämään 'Restore order' toimintoa"
"The payment for the order #","Maksu tilaukselle #"
" has been completed while the order was in canceled state. "," on hyväksytty tilauksen ollessa peruutettu tilassa. "
"Please navigate to your Magento orders, select the order in question, and click restore order. Note the stock.", "Ole hyvä, ja valitse kyseinen tilaus Magenton hallinnassa ja klikkaa Palauta tilaus. Huomioi varastosaldo."
"Restore Order", "Palauta tilaus"
"Are you sure you want to make changes to this order?", "Haluatko varmasti tehdä muutoksia tähän tilaukseen?"
"Pending payment from Paytrail Payment Service","Odottaa maksua Paytrail Payment Serviceista"
"Order canceled. Failed to redirect to Paytrail Payment Service.","Tilaus peruutettu. Ohjausta Paytrail-maksupalveluun ei voitu tehdä"
"Paytrail Payment Service API credentials are incorrect. Please contact support.","Paytrail Payment Service -maksupalvelun tunnuksia ei löytynyt. Ole hyvä, ja ota yhteyttä asiakaspalveluun."
"By confirming this purchase, you consent to the","Maksamalla tilauksen hyväksyt"
"terms of the payment service","maksupalveluehdot"
"There was a problem processing your order contents","Tilauksen sisällön käsittelyssä ilmeni ongelma"
"Couldn't successfully establish connection to payment provider","Yhteyden muodostaminen maksupalveluun epäonnistui"
"No payment method selected","Ei valittua maksutapaa"
"A problem occurred in order item tax calculations. Please contact store administrator.","Tilauksen verolaskennassa tapahtui ongelma. Ota yhteyttä kaupan ylläpitäjään."
"Order processing has been aborted. Please contact customer service.","Tilauksen käsittelyssä ilmeni ongelma. Ota tarvittaessa yhteyttä asiakaspalveluun."
"You will be redirected to Paytrail Payment Service.","Sinut ohjataan maksupalveluun"
"%1 - Can't check for updates now","%1  - Päivityksiä ei voitu tarkistaa"
"%1 - Latest version","%1  - Viimeisin versio"
" - Newer version (%1) available. "," - Uudempi versio (%1) saatavilla. "
"More details","Lisätietoja"
"A new Paytrail Payment Service extension version is now available: ","Uusi Paytrail Payment Service -lisäosan versio saatavilla: "
